amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,51,0,3,zscore,0.96,0.7851245180362187,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
9,51,0,3,zscore,0.96,1.0593206463640263,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
11,41,0,3,zscore,0.96,0.8627707958326377,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
9,41,0,0,zscore,0.94,0.23363754173265996,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
7,41,0,0,zscore,0.94,0.18812718395352684,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
13,41,0,0,zscore,0.94,0.28664082037765576,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
7,51,0,0,zscore,0.94,0.2899892996864934,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
9,51,0,0,zscore,0.94,0.3249454652831711,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
11,41,0,0,zscore,0.94,0.30356020840664694,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
13,21,0,0,zscore,0.94,0.14107952645863409,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
11,51,0,0,zscore,0.94,0.37130235843467496,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
13,51,0,0,zscore,0.94,0.3565131045307034,0.3448275862068966,0.9090909090909091,0.5000000000000001,10,19,1,29
13,51,0,3,zscore,0.95,0.6051452513283061,0.36,0.8181818181818182,0.5,9,16,2,25
7,51,0,0,zscore,0.95,0.32175666822425203,0.36,0.8181818181818182,0.5,9,16,2,25
13,51,0,0,zscore,0.95,0.4942909069069829,0.36,0.8181818181818182,0.5,9,16,2,25
11,51,0,0,zscore,0.95,0.47007952921476864,0.36,0.8181818181818182,0.5,9,16,2,25
13,41,0,3,zscore,0.95,0.6162678308800891,0.36,0.8181818181818182,0.5,9,16,2,25
7,21,0,0,zscore,0.93,0.06771774838146434,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
9,21,0,0,zscore,0.93,0.08536942950983487,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
13,21,0,0,zscore,0.93,0.12143740211418912,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
7,31,0,0,zscore,0.93,0.09057681688858396,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
