amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
21,51,1,5,0.96,2.270374318506619,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
17,41,0,0,0.96,2.259778673853537,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
5,71,2,0,0.96,2.4614820445214605,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
17,51,1,5,0.96,2.2880386264417756,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
17,51,2,0,0.96,2.7868428913838947,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
17,71,2,0,0.96,3.0813370935020132,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
5,51,0,0,0.96,2.138471539085457,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
21,21,2,0,0.96,1.7395471492298118,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
5,41,0,0,0.96,2.200592110229058,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
21,51,0,0,0.96,2.3192012139373173,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
21,41,0,0,0.96,2.1485151913804743,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
5,27,2,0,0.96,1.7740059601790419,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
21,71,2,0,0.96,3.303047644528502,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
9,51,0,3,0.97,2.7661449007073147,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,51,1,0,0.97,2.3036907979932506,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,51,1,3,0.97,2.3254811178277297,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
17,51,2,0,0.97,3.1717391709195413,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
17,71,0,3,0.97,3.6119215232881645,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
