amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
5,27,0,0.96,1.7518648827268033,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
3,27,1,0.96,1.8287173811826472,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
3,31,1,0.96,1.9805840753994652,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
11,27,0,0.96,1.8791404631948907,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
11,31,1,0.96,2.234353139435337,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
9,27,0,0.94,1.5502788176749345,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
11,27,1,0.94,1.5230897762544682,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
11,27,0,0.94,1.644642365214587,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
11,31,1,0.94,1.593920517436011,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
5,27,1,0.94,1.5259287980333127,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
9,31,1,0.94,1.7097671238855963,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
5,27,0,0.94,1.5536727366039862,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
9,27,1,0.94,1.5597289209850904,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
7,31,1,0.94,1.7282999716895175,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
3,27,1,0.94,1.459224496358145,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
7,27,0,0.94,1.4761583372410392,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
3,31,1,0.94,1.5652875823899877,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
5,31,0,0.94,1.69876424114029,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
5,31,1,0.94,1.628455658370392,0.1724137931034483,0.45454545454545453,0.25000000000000006,5,24,6,29
3,27,1,0.92,1.3088679882869807,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
7,27,0,0.92,1.353280175745367,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
11,31,0,0.92,1.6500491108552997,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
11,27,0,0.92,1.4935006884098583,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
7,31,0,0.92,1.508448389250581,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
5,31,1,0.92,1.3676026241913364,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
3,31,1,0.92,1.4434647465265928,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
7,31,1,0.92,1.3834144349629678,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
7,27,1,0.92,1.30585216237257,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
9,27,0,0.92,1.4005091183316616,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
11,31,1,0.92,1.423758286318858,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
5,27,1,0.92,1.308266654883863,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
5,31,0,0.92,1.4738434481961717,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
3,27,0,0.92,1.3279892484309577,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
5,27,0,0.92,1.371521536084263,0.15384615384615385,0.5454545454545454,0.24000000000000002,6,33,5,39
3,31,0,0.9,1.3130158205877596,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
11,31,0,0.9,1.338076485404495,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
5,31,0,0.9,1.356270849783341,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
3,27,0,0.9,1.1690258590516842,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
7,31,1,0.9,1.1699722808708075,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
9,27,0,0.9,1.2660796359506414,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
11,27,0,0.9,1.2485601136953224,0.14285714285714285,0.6363636363636364,0.23333333333333328,7,42,4,49
9,31,0,0.88,1.176706208227109,0.13793103448275862,0.7272727272727273,0.23188405797101447,8,50,3,58
7,31,0,0.88,1.2487939278187308,0.13793103448275862,0.7272727272727273,0.23188405797101447,8,50,3,58
5,31,0,0.88,1.2391585473286817,0.13793103448275862,0.7272727272727273,0.23188405797101447,8,50,3,58
11,31,0,0.88,1.1810928078576417,0.13793103448275862,0.7272727272727273,0.23188405797101447,8,50,3,58
3,21,1,0.97,2.0650038993725426,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
3,7,1,0.97,1.7036917769630726,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
11,27,1,0.97,2.8895227466316564,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
9,21,1,0.97,2.3209194177770875,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
3,15,1,0.97,1.8649766202168105,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
7,27,0,0.97,1.915628013763288,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
5,7,1,0.97,1.6026819135629962,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
7,7,1,0.97,1.7728335935927173,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
5,21,1,0.97,2.413820531426277,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
7,21,1,0.97,2.4933280860354166,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
11,27,0,0.97,1.9852518127675438,0.2,0.2727272727272727,0.23076923076923075,3,12,8,15
3,27,1,0.95,1.641742936195577,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
7,21,1,0.95,1.8328151780764455,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
3,31,0,0.95,1.8462596299163962,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
5,27,1,0.95,1.6683632910927015,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
9,27,1,0.95,1.6745979403980775,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
5,27,0,0.95,1.681046232977203,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
