amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,31,0.98,2.401608091106555,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
3,21,0.95,1.4071228109275744,0.16,0.11764705882352941,0.13559322033898305,4,21,30,25
9,21,0.95,1.4320238045455869,0.16,0.11764705882352941,0.13559322033898305,4,21,30,25
5,21,0.85,0.8683950015229148,0.0958904109589041,0.20588235294117646,0.1308411214953271,7,66,27,73
5,21,0.88,0.9898892502871728,0.10344827586206896,0.17647058823529413,0.13043478260869565,6,52,28,58
3,21,0.88,0.9964033725603716,0.10344827586206896,0.17647058823529413,0.13043478260869565,6,52,28,58
7,21,0.94,1.3495106459915895,0.13793103448275862,0.11764705882352941,0.126984126984127,4,25,30,29
5,21,0.94,1.3904235420166902,0.13793103448275862,0.11764705882352941,0.126984126984127,4,25,30,29
11,21,0.94,1.4191667291189807,0.13793103448275862,0.11764705882352941,0.126984126984127,4,25,30,29
9,21,0.94,1.3320052080065634,0.13793103448275862,0.11764705882352941,0.126984126984127,4,25,30,29
7,27,0.97,1.915628013763288,0.2,0.08823529411764706,0.12244897959183675,3,12,31,15
11,27,0.97,1.9852518127675438,0.2,0.08823529411764706,0.12244897959183675,3,12,31,15
11,15,0.8,0.54911077048405,0.08247422680412371,0.23529411764705882,0.12213740458015268,8,89,26,97
9,15,0.8,0.5616490486591008,0.08247422680412371,0.23529411764705882,0.12213740458015268,8,89,26,97
7,15,0.8,0.6052221796662948,0.08247422680412371,0.23529411764705882,0.12213740458015268,8,89,26,97
3,15,0.8,0.5929183286590847,0.08247422680412371,0.23529411764705882,0.12213740458015268,8,89,26,97
3,21,0.9,1.0836313246823552,0.10204081632653061,0.14705882352941177,0.12048192771084339,5,44,29,49
3,15,0.85,0.7640956066197301,0.0821917808219178,0.17647058823529413,0.11214953271028036,6,67,28,73
5,15,0.85,0.7792184031448045,0.0821917808219178,0.17647058823529413,0.11214953271028036,6,67,28,73
11,7,0.85,0.7981985014694436,0.0821917808219178,0.17647058823529413,0.11214953271028036,6,67,28,73
11,15,0.85,0.7291392696374693,0.0821917808219178,0.17647058823529413,0.11214953271028036,6,67,28,73
11,21,0.96,1.5413013568306637,0.15,0.08823529411764706,0.11111111111111112,3,17,31,20
3,21,0.96,1.4988962373974761,0.15,0.08823529411764706,0.11111111111111112,3,17,31,20
9,21,0.96,1.5146633020946183,0.15,0.08823529411764706,0.11111111111111112,3,17,31,20
9,15,0.92,1.0739756063402353,0.10256410256410256,0.11764705882352941,0.1095890410958904,4,35,30,39
11,15,0.92,1.1692855794803225,0.10256410256410256,0.11764705882352941,0.1095890410958904,4,35,30,39
11,21,0.92,1.233241810505839,0.10256410256410256,0.11764705882352941,0.1095890410958904,4,35,30,39
7,11,0.88,0.8442724245223856,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
5,15,0.88,0.888196377483494,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
9,15,0.88,0.8713686866373324,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
9,11,0.88,0.86669361223263,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
11,11,0.88,0.8464238547357316,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
7,15,0.88,0.8236765713368849,0.08620689655172414,0.14705882352941177,0.10869565217391305,5,53,29,58
5,15,0.8,0.6187814436795438,0.07216494845360824,0.20588235294117646,0.10687022900763357,7,90,27,97
11,7,0.8,0.6003886874862687,0.07216494845360824,0.20588235294117646,0.10687022900763357,7,90,27,97
11,11,0.8,0.5068095254754627,0.07216494845360824,0.20588235294117646,0.10687022900763357,7,90,27,97
11,21,0.95,1.4864453871960328,0.12,0.08823529411764706,0.10169491525423728,3,22,31,25
11,15,0.95,1.340489965703234,0.12,0.08823529411764706,0.10169491525423728,3,22,31,25
7,21,0.95,1.415237544541625,0.12,0.08823529411764706,0.10169491525423728,3,22,31,25
7,15,0.9,0.9387569534903425,0.08163265306122448,0.11764705882352941,0.09638554216867469,4,45,30,49
