timestamp,pod,metric,value,label,fault_service,sr_score,pred,target
1410,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.886830230056093e-10,0,1
1425,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,9.533531047651055e-11,0,1
1440,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.1526905720851213e-09,0,1
1455,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.1266900329237452e-10,0,1
1470,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.5340318140045339e-09,0,1
1485,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,9.533531047651055e-11,0,1
1500,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,4.5934285956864176e-10,0,1
1515,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.3000269610883939e-10,0,1
1530,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,4.246754739260973e-10,0,1
1545,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,6.933477125384127e-11,0,1
1560,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.280150981148568e-10,0,1
1575,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,3.4667385625718795e-11,0,1
1590,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.280150981148568e-10,0,1
1605,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,5.200107843947957e-11,0,1
1620,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.106814052902795e-10,0,1
1635,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,5.200107843947957e-11,0,1
1650,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,0.0,0,1
1665,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,0.0,0,1
1680,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.4560301962297135e-09,0,1
1695,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.7333692812558934e-11,0,1
1710,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.473363889067511e-09,0,1
1725,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,5.200107843947957e-11,0,1
1740,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.800161765921938e-10,0,1
1755,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,8.666846406880388e-11,0,1
1770,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.5426986604247096e-09,1,1
1785,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.213358497005318e-10,0,1
1800,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.5773660461069138e-09,1,1
1815,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.213358497005318e-10,0,1
0,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.9090908917355374,1,0
15,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
30,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
45,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
60,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
75,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
90,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
105,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
120,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
135,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
150,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
165,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
180,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,0.0,0,0
195,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,5.200107843947959e-11,0,0
210,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,7.106814052902795e-10,0,0
225,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,5.200107843947959e-11,0,0
240,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,7.280150981148568e-10,0,0
255,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,3.4667385625718814e-11,0,0
270,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,7.280150981148568e-10,0,0
285,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,6.933477125384129e-11,0,0
300,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,4.246754739260973e-10,0,0
315,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,1.3000269610883939e-10,0,0
330,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,4.5934285956864176e-10,0,0
345,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
360,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,1.5340318140045339e-09,0,0
375,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,1.1266900329237448e-10,0,0
390,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,1.152690572085121e-09,0,0
405,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
420,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,7.886830230056092e-10,0,0
435,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
450,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0,normal,none,2.6000539220415825e-10,0,0
